PORT NUMBER	SERVICE NAME	TRANSPORT PROTOCOL	DESCRIPTION
7	Echo	TCP, UDP	Echo service
20	FTP-data	TCP, SCTP	File Transfer Protocol data transfer
21	FTP	TCP, UDP, SCTP	File Transfer Protocol command control
22	SSH/SCP/SFTP	TCP, UDP, SCTP 	Secure Shell, secure logins, file transfers (scp, sftp), and port forwarding
23	Telnet	TCP	Telnet protocol, for unencrypted text communications
25	SMTP	TCP	Simple Mail Transfer Protocol, used for email routing between mail servers
43	WHOIS	TCP, UDP	Whois service, provides domain-level information
53	DNS	TCP, UDP	Domain Name System name resolver
69	TFTP	UDP	Trivial File Transfer Protocol
80	HTTP	TCP, UDP, SCTP	Hypertext Transfer Protocol (HTTP) uses TCP in versions 1.x and 2. HTTP/3 uses QUIC, a transport protocol on top of UDP
88	Kerberos	TCP, UDP	Network authentication system
110	POP3	TCP	Post Office Protocol, version 3 (POP3)
113	Ident	TCP	Identification Protocol, for identifying the user of a particular TCP connection
135	Microsoft RPC EPMAP	TCP, UDP	Microsoft Remote Procedure Call (RPC) Endpoint Mapper (EPMAP) service, for remote system access and management
143	IMAP	TCP, UDP	Internet Message Access Protocol (IMAP), management of electronic mail messages on a server
389	LDAP	TCP, UDP	Lightweight directory access protocol
443	HTTPS (HTTP over SSL)	TCP, UDP, SCTP	Hypertext Transfer Protocol Secure (HTTPS) uses TCP in versions 1.x and 2. HTTP/3 uses QUIC, a transport protocol on top of UDP.
445	Microsoft DS SMB	TCP, UDP	Microsoft Directory Services: TCP for Active Directory, Windows shares; UDP for Server Message Block (SMB) file-sharing
464	Kerberos	TCP, UDP	For password settings on Kerberos
465	SMTP over TLS/SSL, SSM	TCP	Authenticated SMTP over TLS/SSL (SMTPS), URL Rendezvous Directory for Cisco’s Source Specific Multicast protocol (SSM)
587	SMTP	TCP	For email message submission via SMTP
593	Microsoft DCOM	TCP, UDP	Distributed Component Object Model (DCOM)
989	FTPS	TCP	File Transfer Protocol (data) over TLS/SSL
990	FTPS	TCP	File Transfer Protocol (control) over TLS/SSL
993	IMAP over SSL (IMAPS)	TCP	Internet Message Access Protocol over TLS/SSL
995	POP3 over SSL (POP3S)	TCP, UDP	Post Office Protocol 3 over TLS/SSL
1025	Microsoft RPC	TCP	Microsoft Remote Procedure Call
2049	NFS	UDP	Network File Sharing
2483	Oracle	TCP, UDP	Oracle database listening for insecure client connections to the listener, replaces port 1521
2484	Oracle	TCP, UDP	Oracle database listening for SSL client connections to the listener
3306	MySQL	TCP	MySQL database system
3389	RDP	TCP	Windows Remote Desktop Protocol (Microsoft Terminal Server)
5432	PostgreSQL	TCP	PostgreSQL database system
27017	MongoDB	TCP	NoSql database
33434+	traceroute	UDP	Utility for displaying paths and measuring transit delays of packets across a network

